CIE-10	Enfermedad	MF	MG	MF o MG	Atencion_primaria	Especialistas	Especialista_1	A1	A2	A3	A4	A5	Especialista_1_Total_k	Especialista_2	B1	B2	B3	B4	B5	Especialista_2_Total_k	Especialista_3	C1	C2	C3	C4	C5	Especialista_3_Total_k	Especialista_4	D1	D2	D3	D4	D5	Especialista_4_Total_k	Especialista_5	E1	E2	E3	E4	E5	Especialista_5_Total_k	Totales	Grupo Etario
A09	DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO	4	0	0	4	1	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
B34.0	INFECCION DEBIDA A ADENOVIRUS SIN OTRA ESPECIFICACION	2	0	1	3	2	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
B34.1	INFECCION DEBIDA A ENTEROVIRUS SIN OTRA ESPECIFICACION	2	0	1	3	2	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
B34.2	INFECCION DEBIDA A CORONAVIRUS SIN OTRA ESPECIFICACION	2	0	1	3	2	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
B34.3	INFECCION DEBIDA A PARVOVIRUS SIN OTRA ESPECIFICACION	1	0	0	1	4	PEDIATRIA	3	1	0	0	0	4		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
B34.8	OTRAS INFECCIONES VIRALES DE SITIO NO ESPECIFICADO	2	0	1	3	2	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
B34.9	INFECCION VIRAL NO ESPECIFICADA	3	0	1	4	1	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
B82.0	HELMINTIASIS INTESTINAL SIN OTRA ESPECIFICACION	3	0	1	4	1	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
B82.9	PARASITOSIS INTESTINAL SIN OTRA ESPECIFICACION	3	0	1	4	1	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
D50.0	ANEMIA POR DEFICIENCIA DE HIERRO SECUNDARIA A PERDIDA DE SANGRE (CRONICA)	2	0	0	2	3	PEDIATRIA	0	1	0	0	0	1	HEMATOLOGIA CLINICA	1	0	1	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
D50.8	OTRAS ANEMIAS POR DEFICIENCIA DE HIERRO	3	0	0	3	2	HEMATOLOGIA CLINICA	0	0	1	0	0	1	PEDIATRIA	0	1	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
D50.9	ANEMIA POR DEFICIENCIA DE HIERRO SIN OTRA ESPECIFICACION	3	0	0	3	2	PEDIATRIA	1	1	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
D64.1	ANEMIA SIDEROBLASTICA SECUNDARIA A OTRA ENFERMEDAD	0	0	0	0	5	HEMATOLOGIA CLINICA	3	0	0	0	0	3	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
D64.9	ANEMIA DE TIPO NO ESPECIFICADO	2	0	1	3	2	PEDIATRIA	1	1	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
F80.0	TRASTORNO ESPECIFICO DE LA PRONUNCIACION	1	0	0	1	4	MEDICINA FISICA Y REHABILITACION	3	0	0	0	0	3	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
F80.1	TRASTORNO DEL LENGUAJE EXPRESIVO	1	0	0	1	4	PEDIATRIA	1	0	0	0	0	1	MEDICINA FISICA Y REHABILITACION	2	1	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
F80.2	TRASTORNO DE LA RECEPCION DEL LENGUAJE	1	0	0	1	4	PEDIATRIA	2	0	0	0	0	2	PSIQUIATRIA	1	0	0	0	0	1	NEUROLOGIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0	5	A
F80.8	OTROS TRASTORNOS DEL DESARROLLO DEL HABLA Y DEL LENGUAJE	1	0	0	1	4	PEDIATRIA	2	0	0	0	0	2	MEDICINA FISICA Y REHABILITACION	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
F80.9	TRASTORNO DEL DESARROLLO DEL HABLA Y DEL LENGUAJE NO ESPECIFICADO	1	0	0	1	4	MEDICINA FISICA Y REHABILITACION	3	0	0	0	0	3	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
